longitude,latitude,value
5.7500,63.7500,7.7415
5.9167,63.7500,7.6927
6.0833,63.7500,7.6196
6.2500,63.7500,7.5441
6.4167,63.7500,7.4681
6.5833,63.7500,7.3924
6.7500,63.7500,7.3156
6.9167,63.7500,7.2416
7.0833,63.7500,7.1739
7.2500,63.7500,7.1137
7.4167,63.7500,7.0542
7.5833,63.7500,6.9939
7.7500,63.7500,6.9307
7.9167,63.7500,6.6857
5.7500,63.6500,7.7394
5.9167,63.6500,7.6718
6.0833,63.6500,7.6013
6.2500,63.6500,7.5312
6.4167,63.6500,7.4517
6.5833,63.6500,7.3729
6.7500,63.6500,7.2938
6.9167,63.6500,7.2208
7.0833,63.6500,7.1521
7.2500,63.6500,7.0932
7.4167,63.6500,7.0355
7.5833,63.6500,6.9772
7.7500,63.6500,6.9189
7.9167,63.6500,6.6900
5.7500,63.5500,7.7306
5.9167,63.5500,7.6585
6.0833,63.5500,7.5836
6.2500,63.5500,7.5103
6.4167,63.5500,7.4277
6.5833,63.5500,7.3465
6.7500,63.5500,7.2662
6.9167,63.5500,7.1951
7.0833,63.5500,7.1263
7.2500,63.5500,7.0696
7.4167,63.5500,7.0143
7.5833,63.5500,6.9588
7.7500,63.5500,6.9042
7.9167,63.5500,6.6982
5.7500,63.4500,7.7094
5.9167,63.4500,7.6321
6.0833,63.4500,7.5527
6.2500,63.4500,7.4793
6.4167,63.4500,7.3968
6.5833,63.4500,7.3165
6.7500,63.4500,7.2381
6.9167,63.4500,7.1704
7.0833,63.4500,7.1042
7.2500,63.4500,7.0508
7.4167,63.4500,6.9987
7.5833,63.4500,6.9465
7.7500,63.4500,6.8952
7.9167,63.4500,6.8490
5.5833,63.3500,7.7567
5.7500,63.3500,7.6842
5.9167,63.3500,7.5949
6.0833,63.3500,7.5109
6.2500,63.3500,7.4300
6.4167,63.3500,7.3572
6.5833,63.3500,7.2788
6.7500,63.3500,7.2033
6.9167,63.3500,7.1399
7.0833,63.3500,7.0776
7.2500,63.3500,7.0282
7.4167,63.3500,6.9803
7.5833,63.3500,6.9321
7.7500,63.3500,6.8848
7.9167,63.3500,6.8422
5.4167,63.2500,7.6507
5.5833,63.2500,7.7018
5.7500,63.2500,7.6225
5.9167,63.2500,7.5398
6.0833,63.2500,7.4568
6.2500,63.2500,7.3810
6.4167,63.2500,7.3152
6.5833,63.2500,7.2457
6.7500,63.2500,7.1520
6.9167,63.2500,7.0938
7.0833,63.2500,7.0367
7.2500,63.2500,6.9928
7.4167,63.2500,6.9507
7.5833,63.2500,6.9089
7.9167,63.2500,6.8337
5.2500,63.1500,7.7054
5.4167,63.1500,7.6307
5.5833,63.1500,7.5457
5.7500,63.1500,7.4513
5.9167,63.1500,7.3534
6.0833,63.1500,7.2549
6.2500,63.1500,7.1640
6.4167,63.1500,7.0742
6.5833,63.1500,6.9868
6.7500,63.1500,6.9009
6.9167,63.1500,7.0533
7.0833,63.1500,7.0022
7.2500,63.1500,6.9639
7.4167,63.1500,6.9277
7.5833,63.1500,6.8924
7.9167,63.1500,6.8279
4.9167,63.0500,7.7882
5.0833,63.0500,7.7379
5.2500,63.0500,7.6757
5.4167,63.0500,7.6027
5.5833,63.0500,7.5211
5.7500,63.0500,7.4303
5.9167,63.0500,7.3364
6.0833,63.0500,7.2410
6.2500,63.0500,7.1543
6.4167,63.0500,7.0680
6.5833,63.0500,6.9827
6.7500,63.0500,6.8980
6.9167,63.0500,6.8252
7.0833,63.0500,6.9679
7.2500,63.0500,6.9352
7.4167,63.0500,6.9042
7.5833,63.0500,6.8751
7.9167,63.0500,6.8236
4.7500,62.9500,7.7874
4.9167,62.9500,7.7473
5.0833,62.9500,7.6986
5.2500,62.9500,7.6388
5.4167,62.9500,7.5685
5.5833,62.9500,7.4918
5.7500,62.9500,7.4062
5.9167,62.9500,7.3178
6.0833,62.9500,7.2274
6.2500,62.9500,7.1459
6.4167,62.9500,7.0638
6.5833,62.9500,6.9813
6.7500,62.9500,6.8980
6.9167,62.9500,6.8262
4.4167,62.8500,7.8010
4.5833,62.8500,7.7705
4.7500,62.8500,7.7362
4.9167,62.8500,7.6979
5.0833,62.8500,7.6535
5.2500,62.8500,7.5977
5.4167,62.8500,7.5331
5.5833,62.8500,7.4630
5.7500,62.8500,7.3840
5.9167,62.8500,7.3021
6.0833,62.8500,7.2169
6.2500,62.8500,7.1404
6.4167,62.8500,7.0623
6.5833,62.8500,6.9820
6.7500,62.8500,6.8993
6.9167,62.8500,6.8289
4.0833,62.7500,7.8021
4.2500,62.7500,7.7729
4.4167,62.7500,7.7426
4.5833,62.7500,7.7108
4.7500,62.7500,7.6776
4.9167,62.7500,7.6436
5.0833,62.7500,7.6050
5.2500,62.7500,7.5558
5.4167,62.7500,7.4985
5.5833,62.7500,7.4364
5.7500,62.7500,7.3649
5.9167,62.7500,7.2899
